Neighborhood,Ward,Latitude,Longitude,Borough,Total Population,Population Male,Population Female,Sex Ratio,No.of Houses,Area Hectare,Population Density,Avg. Price,SqftPrice Min,SqftPrice Max,Properties
Khokadpura,55,19.8812607,75.3276696,S-A,17708,8954,8754,978,1654,35.12,504,4871,4321,5421,12
Jai Bhavani Nagar,56,19.8624887,75.3658675,SE-A,9696,4951,4745,958,1577,128.18,75,3894,3233,4555,1
Sanjay Nagar,57,19.8700685,75.3773098,E-A,9973,5112,4861,951,1817,15.37,648,2455,1255,3654,2
Baijipura,58,19.882707,75.3495963,E-A,10149,5197,4952,953,2026,15.37,660,2385,1345,3424,2
Bari Colony,59,19.886616500000002,75.3454408,C-A,8819,4477,4342,970,1658,29.52,298,2664,2457,2871,3
Indira Nagar,60,19.8825712,75.3457166,C-A,8445,4322,4123,954,1396,28.27,298,1721,1201,2241,1
Altamash Colony,61,19.885572800000002,75.350363,E-A,9142,4592,4550,991,1905,86.22,106,3068,3114,3021,3
Cidco N-6,62,19.882441,75.3526316,E-A,8448,4313,4135,959,1804,37.01,228,5357,5977,4737,2
Avishkar Colony,63,19.8826759,75.3570908,E-A,8559,4483,4076,909,1679,24.56,348,2446,2314,2578,1
Gulmohor Colony,64,19.882503699999997,75.359466,E-A,8521,4314,4207,975,2032,15.37,554,3900,1258,6541,2
Satyam Nagar,64,19.886661399999998,75.3605103,E-A,11513,5878,5635,959,1142,12.54,918,1723,987,2458,1
Surana Nagar,65,19.87641,75.3487283,S-A,9226,4780,4446,930,1887,24.57,375,710,220,1200,2
Ajabnagar,66,19.875788,75.3289894,C-A,9975,5384,4591,853,2245,30.16,330,2275,1204,3345,2
Kotla Colony,67,19.872954500000002,75.3228402,C-A,10660,5634,5026,892,2246,73.68,144,2251,2145,2356,2
Padampura,68,19.8693124,75.3146972,S-A,9677,5063,4614,911,2160,39.29,246,5298,4737,5859,8
Osmanpura,69,19.864257000000002,75.3176637,S-A,10258,5295,4963,937,2274,55.5,184,4578,3503,5652,3
Kranti Chowk,70,19.873326199999997,75.3263581,C-A,14816,7702,7114,924,3488,54.02,274,10043,9827,10259,2
Ramanagar,71,19.870462,75.3311408,S-A,10308,5413,4895,904,2150,12.29,838,5928,4912,6944,2
Vishnu Nagar,72,19.8742407,75.3400824,S-A,10667,5494,5173,942,2388,44.32,240,13118,12587,13648,2
Arihant Nagar,73,19.8720504,75.3400846,S-A,11012,5746,5266,916,2632,12.28,896,3396,2245,4547,3
Jawahar Colony,74,19.87111,75.3457002,S-A,10892,5726,5166,902,2362,15.37,708,6308,3658,8957,2
Vidya Nagar,75,19.872183399999997,75.3514756,S-A,9848,5118,4730,924,1974,22.14,444,3319,3230,3408,3
Cidco N-3,76,19.872126100000003,75.3611969,SE-A,16963,8542,8421,986,1878,45.12,375,14844,14214,15474,20
Cidco N-4,76,19.8624887,75.3658675,SE-A,19035,9524,9511,999,2541,41.25,461,13178,11214,15142,12
Parijat Nagar,76,19.8638098,75.3637916,SE-A,13305,7080,6225,879,2858,6.15,2163,2005,1200,2810,11
Cidco N-2,77,19.8862315,75.3496681,SE-A,17934,9506,8428,887,3937,24.6,729,16329,15784,16874,23
Thakare Nagar,77,19.8671555,75.3674343,SE-A,8657,4512,4145,919,1012,5.23,1655,9994,9875,10112,1
Maya Nagar,78,19.8718921,75.3683008,SE-A,11117,5698,5419,951,2151,18.42,603,10960,9874,12045,12
Ambika Nagar,79,19.869546600000003,75.3733869,SE-A,12766,6716,6050,901,2816,14.75,865,1467,952,1982,1
Mukundwadi,80,19.8587276,75.363332,SE-A,13357,7028,6329,901,2948,18.41,725,6434,2368,10500,6
Sangharsh Nagar,81,19.1062562,72.8974189,E-A,19930,10559,9371,887,4473,7.37,2704,1695,1248,2142,1
Mahalaxmi Colony,82,19.868756100000002,75.3707996,E-A,23641,12487,11154,893,4976,14.75,1602,2423,1201,3645,3
Ram Nagar,83,19.8693927,75.3836133,E-A,10347,5550,4797,864,2364,9.84,1051,2798,2345,3251,2
Vittalnagar,84,19.868583100000002,75.3831419,E-A,20089,10561,9528,902,4476,18.44,1089,5211,3547,6874,2
Prakash Nagar,85,19.848305,75.2978043,E-A,13310,6885,6425,933,2786,7.37,1805,2656,2101,3210,3
Chikalthana,86,19.880425,75.3722188,E-A,24604,12457,12147,975,3547,67.01,367,4864,2062,7666,1
Mukundnagar,86,19.8598422,75.3778452,E-A,13639,6987,6652,952,2677,6.38,2137,10035,9856,10214,21
Cidco N-13,87,19.9095092,75.3397277,N-A,13378,6882,6496,944,3248,7.43,1800,18998,18741,19254,21
